politican_1,politican_2,legislative_collaboration,num_common_sponership_compaines_tickets,common_116_congress_committees,legislative_collaboration_evidence
Adam Kinzinger,Austin Scott,True,0,[],H.Res. 417
Adam Kinzinger,Alan S. Lowenthal,True,0,[],H.Res.414
Adam Kinzinger,Bob Gibbs,True,0,"[""Energy and Commerce Committee""]",Both Kinzinger and Gibbs co-sponsored H.R.5395 - Fallen Warrior Battlefield Cross Memorial Act.
Adam Kinzinger,Anthony E. Gonzalez,True,0,"[""Energy and Commerce Committee""]",Both co-sponsored H.R.5404 - Promoting American Energy Dominance Act.
Adam Kinzinger,Brian Mast,True,0,[],"Both co-sponsored H.R.1158 - Consolidated Appropriations Act, 2020."
Adam Kinzinger,"Capito, Shelley Moore",True,0,[],H.R.4992: Energy Sector Innovation Credit Act of 2019
Adam Kinzinger,Brian Higgins,True,0,"[""Energy and Commerce"", ""Foreign Affairs""]",H.Res. 246
Adam Kinzinger,Carol Devine Miller,True,0,"[""Energy and Commerce""]",H.Res.491
Adam Kinzinger,Christopher L. Jacobs,True,0,[],H.Res.1357
Adam Kinzinger,"Carper, Thomas R.",True,0,[],Both were co-sponsors of H.R.4781 - DHS Blue Campaign Authorization Act of 2019.
Adam Kinzinger,Cheri Bustos,True,0,[],H.Res.779 - Recognizing the importance of the Rural Behavioral Health Strategy and Task Force.
Adam Kinzinger,"Cassidy, Bill",True,0,[],Both were co-sponsors of H.R.1520 - Energy Sector Innovation Credit Act of 2019.
Adam Kinzinger,Daniel Crenshaw,True,0,[],H.Res. 875
Adam Kinzinger,Cindy Axne,True,0,[],H.Res. 83 (116th Congress): Recognizing the importance of the contributions of school resource officers.
Adam Kinzinger,Daniel Meuser,True,0,[],Both co-sponsored H.R.5404 - Fallen Warrior Battlefield Cross Memorial Act
Adam Kinzinger,David B. Mckinley,True,0,"[""Energy and Commerce Committee""]",H.R.4905 - Promoting Energy Efficiency Act of 2019
Adam Kinzinger,David E. Price,True,0,"[""Energy and Commerce Committee""]",H.Res.1379
Adam Kinzinger,David P. Joyce,True,0,"[""Energy and Commerce"", ""Foreign Affairs""]",H.Res.417
Adam Kinzinger,David Cheston Rouzer,True,0,[],H.R.4996 - Advancing American Aviation Act
Adam Kinzinger,David Trone,True,0,[],H.R.1418 - Veteran Treatment Court Coordination Act of 2019
Adam Kinzinger,Debbie Wasserman Schultz,True,0,[],H.Res.41 (116th Congress)
Adam Kinzinger,Debbie Dingell,True,0,"[""Energy and Commerce Committee""]",H.Res.414
Adam Kinzinger,Dean Phillips,True,0,[],"H.Res. 834: Expressing the sense of the House of Representatives that the United States should implement a comprehensive strategy to address the political, economic, and security implications of strategic competition with the People's Republic of China."
Adam Kinzinger,Donald Sternoff  Beyer Jr,True,0,[],H.Res.41
Adam Kinzinger,Donald Sternoff Beyer Jr,True,0,[],H.Res.41 (116th Congress)
Adam Kinzinger,Dwight Evans,True,0,[],H.Res.1374
Adam Kinzinger,Earl Blumenauer,True,0,[],H.Res.414
Adam Kinzinger,Ed Perlmutter,True,0,[],H.Res.78
Adam Kinzinger,Garret Graves,True,0,[],H.Res.875
Adam Kinzinger,Gilbert Cisneros,True,0,[],H.Res.44
Adam Kinzinger,Greg Gianforte,True,0,[],H.Res. 135
Adam Kinzinger,Harley E. Rouda Jr.,True,0,"[""Oversight and Reform""]",Both co-sponsored H.R.5378 - Fallen Warrior Battlefield Cross Memorial Act.
Adam Kinzinger,"Hoeven, John",True,0,[],H.Res.872
Adam Kinzinger,James E Hon Banks,True,0,[],H.Res.779
Adam Kinzinger,James E. Banks,True,0,[],H.Res.495
Adam Kinzinger,James French Hill,True,0,[],H.Res. 660
Adam Kinzinger,James R. Langevin,True,0,"[""Energy and Commerce Committee""]",H.Res.41
Adam Kinzinger,Joe Courtney,True,0,"[""Armed Services""]","H.R.5495 - To amend title 10, United States Code, to authorize the Secretary of the Navy to convey to the town of Groton, Connecticut, certain real property at the Naval Submarine Base New London, and for other purposes."
Adam Kinzinger,John A. Yarmuth,True,0,[],Both were co-sponsors of H.R.1423 - Fallen Warrior Battlefield Cross Memorial Act
Adam Kinzinger,John Rutherford,True,0,"[""Energy and Commerce Committee""]",H.Res. 246
Adam Kinzinger,John Curtis,True,0,[],"Both Representatives co-sponsored H.R.4979 - To designate the Traverse City VA Community Based Outpatient Clinic in Traverse City, Michigan, as the Colonel Demas T. Craw VA Clinic."
Adam Kinzinger,Josh Gottheimer,True,0,"[""Committee on Financial Services""]","Both were co-sponsors of H.R.499, the Protect Our Troops Act."
Adam Kinzinger,Justin Amash,True,0,[],H.R.4935 - Dignity for Fallen Military Heroes Act
Adam Kinzinger,Katherine M. Clark,True,0,[],H.Res.874: Condemning QAnon and rejecting the conspiracy theories it promotes
Adam Kinzinger,K. Michael Conaway,True,0,[],H.R.499 - Fallen Warrior Battlefield Cross Memorial Act
Adam Kinzinger,Kathy Castor,True,0,"[""Energy and Commerce Committee""]",H.Res.874: This resolution recognizes the importance of the United States-Poland alliance and commemorates the 100th anniversary of the establishment of diplomatic relations between the United States and Poland.
Adam Kinzinger,Lloyd Doggett,True,0,[],H.Res. 246
Adam Kinzinger,"King, Angus",True,0,[],H.Res. 417: Recognizing the importance of the Arctic National Wildlife Refuge and supporting efforts to protect it.
Adam Kinzinger,Kevin Hern,True,0,[],H.Res. 246: Expressing the sense of the House of Representatives that the United States should work to establish in the Republic of Kosovo a process for the return of cultural and religious property seized during the conflicts in the former Yugoslavia.
Adam Kinzinger,"Loeffler, Kelly",True,0,[],H.Res.823
Adam Kinzinger,Mark Dr Green,True,0,"[""Foreign Affairs Committee""]","Both Representatives co-sponsored H.R.499, the Fallen Warrior Battlefield Cross Memorial Act."
