Name,Ticker,Traded_Date
Brian Mast,TLRY,2020-11-06
"Capito, Shelley Moore",MSFT,2020-03-03
John A. Yarmuth,GOOGL,2020-06-24
John A. Yarmuth,TLRY,2020-11-05
John Curtis,BDX,2020-03-27
John Curtis,CMCSA,2020-03-27
John Curtis,DE,2020-03-27
John Curtis,MSFT,2020-03-27
Mark Dr Green,ET,2020-12-10
Mark Dr Green,AMZA,2020-12-23
Mark Dr Green,AMZA,2020-12-24
Nancy Pelosi,FB,2020-01-16
Nancy Pelosi,GOOGL,2020-02-27
Nancy Pelosi,MSFT,2020-02-28
Susan W. Brooks,MSFT,2020-04-06
Susan W. Brooks,QCOM,2020-04-06
Suzan K. Delbene,MSFT,2020-03-02
Suzan K. Delbene,MSFT,2020-03-31
Suzan K. Delbene,MSFT,2020-08-31
Suzan K. Delbene,MSFT,2020-09-30
"Wyden, Ron",AAPL,2020-08-07
"Wyden, Ron",UPS,2020-08-19
"Wyden, Ron",NFLX,2020-08-20
"Wyden, Ron",SQ,2020-08-24
"Wyden, Ron",UPS,2020-08-25
"Wyden, Ron",AAPL,2020-08-27
"Wyden, Ron",AMZN,2020-09-01
"Wyden, Ron",AAPL,2020-09-02
