Company,PoliticiansConnected,PageRank
GOOG,68,0.034034271086370374
UNH,62,0.030674145559904317
BA,51,0.026073239938988347
MSFT,44,0.021478764153218723
AMZN,39,0.020041830710983154
UPS,33,0.01868451694122552
LMT,36,0.018253010982270005
JPM,35,0.01738026073705297
CVS,27,0.013693341100190683
RTX,25,0.013110674110064252
NOC,23,0.012218544618885193
HD,24,0.011934545884531552
BAC,21,0.010577362945696271
PFE,18,0.009706527413793145
MRK,15,0.008607130532145147
WFC,14,0.007244123984293984
AAPL,13,0.007109229763123759
GD,12,0.006776867923138651
XOM,9,0.006660331743808135
C,12,0.0062951840324923635
V,12,0.006256329943020708
T,10,0.005400755834624173
GOOGL,8,0.004607221700672417
ANTM,7,0.004526079889512414
DUK,4,0.004212736957801861
UNP,6,0.003999369081148809
BOEING,3,0.003949222668442662
WMT,7,0.0038786124522839074
MGM,1,0.0036031125829245046
LVS,1,0.0036031125829245046
WYNN,1,0.0036031125829245046
DIS,6,0.003598229291208421
HON,5,0.0034421575872070793
WELLS FARGO,2,0.003360975564132163
CI,5,0.0033593097232072254
AEP,3,0.003282843862141209
JNJ,5,0.003258944003767324
CMCSA,5,0.003223745481270329
MMC,4,0.002974840660267652
KO,4,0.002813615633137606
SO,2,0.0027518748698563585
VZ,4,0.0027091738289986888
HUM,3,0.0026444781539216576
MPC,1,0.002570588913997255
PSX,1,0.002570588913997255
CHS,1,0.002570588913997255
CVX,1,0.002570588913997255
COP,1,0.002570588913997255
SLB,1,0.002570588913997255
HAL,1,0.002570588913997255
WMB,1,0.002570588913997255
KMI,1,0.002570588913997255
INTC,3,0.002512462438108197
PNC,2,0.002489292915163498
FB,3,0.0023989606067220926
AFL,3,0.0023279725112757364
FDX,3,0.0022394257367338217
CNP,1,0.00222604478082185
NRG,1,0.00222604478082185
NEE,1,0.00222604478082185
FE,1,0.00222604478082185
EXC,1,0.00222604478082185
D,1,0.00222604478082185
CMS,1,0.00222604478082185
ATVI,1,0.0021588899855798775
AMAZON,1,0.0021588899855798775
RAYTHEON,1,0.0021588899855798775
DOMINION ENERGY,1,0.0021588899855798775
GOLDMAN SACHS,1,0.0021588899855798775
AET,2,0.0020805384635010564
COMCAST,1,0.001981508805364444
PECO,1,0.001981508805364444
TXT,2,0.0019465495523640838
CACI,2,0.0019465495523640838
BAH,2,0.0019334633158177108
PG,2,0.0019235185712568855
LOCKHEED MARTIN,1,0.001914786477369154
NKE,2,0.0017122252757797497
RAY,2,0.0017097423937983626
F,1,0.0015397172723016607
DE,1,0.0015010759137315925
ADM,1,0.0015010759137315925
MCK,1,0.0014777079876164686
LLY,1,0.0014777079876164686
BAX,1,0.0014777079876164686
CAT,1,0.0014692274594642267
NUE,1,0.0014692274594642267
NIKE,1,0.0014343926591179489
WM,1,0.0014343926591179489
LHX,1,0.0014236158065067893
ICE,1,0.0014036096880358146
UTX,1,0.0013902734146942158
MMM,1,0.0013902734146942158
ING,1,0.0013834414322372761
BRK.B,1,0.0013834414322372761
EXXON,1,0.0013643351832549008
CHEVRON,1,0.0013643351832549008
CHRW,1,0.00132579954444973
AMGN,1,0.0013251879406831581
NVDA,1,0.001324247849239737
NVR,1,0.0013160171256506015
USB,1,0.0013102186588600138
HOME,1,0.0012974908203529473
BAE,1,0.001292663049504123
NFLX,1,0.0012826056996663826
