Name,Ticker,Traded_Date,TradeMonth,Transaction,trade_price,future_price_1m,ret_1m,future_price_3m,ret_3m,future_price_6m,ret_6m,future_price_9m,ret_9m,future_price_11m,ret_11m,future_price_24m,ret_24m,direct_legislative_connection
Brian Mast,TLRY,2020-11-06,2020-11,Purchase,70.0199966430664,58.95000076293945,-0.1580976351163984,36.790000915527344,-0.47457865353710493,20.290000915527344,-0.7102256228466055,19.5,-0.7215081271796812,,,,,True
"Capito, Shelley Moore",MSFT,2020-03-03,2020-03,Purchase,11.895013809204102,15.054776191711426,0.26563755479311585,,,,,,,,,,,True
Carol Devine Miller,CVX,2020-08-04,2020-08,Purchase,77.49285888671875,74.23231506347656,-0.0420754101743561,68.03642272949219,-0.12202977529904076,58.01416015625,-0.2513612094108344,,,,,,,True
"Carper, Thomas R.",TSLA,2020-12-30,2020-12,Purchase,162.84649658203125,158.40199279785156,-0.02729259687782624,157.43649291992188,-0.033221492483162966,137.9409942626953,-0.15293852088976442,97.48600006103516,-0.4013626199693637,100.43599700927734,-0.3832474193960669,,,True
"Cassidy, Bill",JNJ,2020-03-09,2020-03,Purchase,55.09000015258789,82.91000366210938,0.5049918938548891,,,,,,,,,,,True
Dean Phillips,AMZN,2020-09-23,2020-09,Purchase,,,,,,,,,,,,,,True
Donald Sternoff Beyer Jr,ASML,2020-11-13,2020-11,Purchase,143.73492431640625,118.6088409423828,-0.17480847813098616,129.8821258544922,-0.09637740116257097,102.30179595947266,-0.2882606892791491,121.13642120361328,-0.15722346688023073,,,,,True
Donald Sternoff Beyer Jr,MSFT,2020-11-24,2020-11,Purchase,19.64736557006836,16.886268615722656,-0.14053268080643222,16.527812957763672,-0.15877714501618212,14.20444107055664,-0.27703075407746797,15.054776191711426,-0.23375089968059035,,,,,True
Harley E. Rouda Jr.,AMZN,2020-02-20,2020-02,Purchase,,,,,,,,,,,,,,True
James E. Banks,F,2020-09-01,2020-09,Purchase,6.199999809265137,5.929999828338623,-0.04354838536011436,6.53000020980835,0.05322587269278104,1.940000057220459,-0.6870967553383844,,,,,,,True
James E. Banks,PASO,2020-09-01,2020-09,Purchase,3.491051435470581,4.401195526123047,0.2607077287389728,3.140664577484131,-0.10036714281158086,1.207186579704285,-0.6542054444002885,,,,,,,True
James E. Banks,PASO,2020-09-02,2020-09,Purchase,3.491051435470581,4.401195526123047,0.2607077287389728,3.140664577484131,-0.10036714281158086,1.207186579704285,-0.6542054444002885,,,,,,,True
James E. Banks,KR,2020-09-03,2020-09,Purchase,1177.6400146484375,1196.31005859375,0.015853778500288216,1128.1199951171875,-0.042050218161135834,846.0,-0.28161408454470904,,,,,,,True
James E. Banks,PASO,2020-09-03,2020-09,Purchase,3.491051435470581,4.401195526123047,0.2607077287389728,3.140664577484131,-0.10036714281158086,1.207186579704285,-0.6542054444002885,,,,,,,True
James E. Banks,PASO,2020-09-11,2020-09,Purchase,3.491051435470581,4.401195526123047,0.2607077287389728,3.140664577484131,-0.10036714281158086,1.207186579704285,-0.6542054444002885,,,,,,,True
