committee,pagerank
Ways and Means,0.01449834810104558
Joint Committee on Taxation,0.012884585347684194
Foreign Affairs,0.01234912233236625
Committee on Finance,0.011039311522731386
"Commerce, Science, and Transportation",0.010743425480301005
"Science, Space, and Technology",0.010122689167957463
Energy and Commerce Committee,0.009071175808033892
Committee on Energy and Natural Resources,0.0086737398233934
Appropriations,0.007533872056855839
Rules and Administration,0.007515478736019439
Oversight and Reform,0.007106113851957637
Committee on the Budget,0.007039277538172568
Special Committee on Aging,0.007039277538172568
Armed Services Committee,0.006446404409811003
Homeland Security Committee,0.006446404409811003
Committee on Energy and Commerce,0.006446404409811003
Committee on Oversight and Reform,0.006446404409811003
Natural Resources,0.0062925535300165135
Joint Economic Committee,0.005961117652685871
Judiciary,0.005929996893180909
House Administration,0.005929996893180909
Oversight and Investigations,0.005805805600809223
Education and Labor,0.005805805600809223
Agriculture,0.005805805600809223
"National Security, International Development, and Monetary Policy",0.005805805600809223
Financial Services,0.005805805600809223
Small Business,0.005805805600809223
Transportation and Infrastructure,0.005653607476219524
Ways and Means Subcommittee on Health,0.00560920653773466
Ways and Means Subcommittee on Trade,0.00560920653773466
Ways and Means Subcommittee on Select Revenue Measures,0.00560920653773466
House Democratic Caucus,0.005485506196308336
House Democratic Steering and Policy Committee,0.005485506196308336
Committee on Transportation and Infrastructure,0.005485506196308336
Subcommittee on Coast Guard and Maritime Transportation,0.005485506196308336
Committee on Foreign Affairs,0.005485506196308336
"Subcommittee on Antitrust, Commercial, and Administrative Law",0.005485506196308336
Committee on Ethics,0.005485506196308336
Select Committee on Intelligence,0.005485506196308336
House Committee on Appropriations,0.005485506196308336
Subcommittee on Aviation,0.005485506196308336
"Subcommittee on Railroads, Pipelines, and Hazardous Materials",0.005485506196308336
Committee on Small Business,0.005485506196308336
Oversight and Reform Committee,0.005215560003856539
Select Committee on the Climate Crisis,0.005215560003856539
"Western Hemisphere, Civilian Security, and Trade",0.0051994744122179125
"Middle East, North Africa, and International Terrorism",0.0051994744122179125
Oversight and Investigations Subcommittee,0.00511084592970279
Communications and Technology Subcommittee,0.00511084592970279
Health Subcommittee,0.00511084592970279
Financial Services and General Government,0.004483176869807001
"Military Construction, Veterans Affairs, and Related Agencies",0.004483176869807001
"Consumer Protection, Product Safety, Insurance, and Data Security",0.004483176869807001
"Communications, Technology, Innovation, and the Internet",0.004483176869807001
Aviation and Space,0.004483176869807001
Veterans' Affairs,0.004483176869807001
"Commerce, Justice, Science, and Related Agencies",0.004483176869807001
"Health, Education, Labor, and Pensions",0.0044647835489706
"Agriculture, Nutrition, and Forestry",0.0044647835489706
Joint Committee on the Library,0.0044647835489706
Ways and Means - Select Revenue Measures,0.00432665536746504
Ways and Means - Oversight,0.00432665536746504
Environment and Public Works,0.004305925312574273
Budget Committee,0.003921525152345171
Oversight,0.0038939336642048565
Trade,0.0038939336642048565
Select Revenue Measures,0.0038939336642048565
Committee on Homeland Security and Governmental Affairs,0.0036208018248634214
Committee on Environment and Public Works,0.0036208018248634214
Committee on Rules and Administration,0.0028896924107462653
