Name,Ticker,Traded_Date,Company,Trade_Size_USD,Transaction,Party,Chamber
Bob Gibbs,ABBV,2020-11-17,ABBVIE INC.,"15,001-50,000",Purchase,R,House
Bob Gibbs,AAPL,2020-09-02,APPLE INC.,"1,001-15,000",Purchase,R,House
Bob Gibbs,JNJ,2020-08-21,JOHNSON & JOHNSON,"1,001-15,000",Purchase,R,House
Bob Gibbs,EMR,2020-07-31,EMERSON ELECTRIC COMPANY,"1,001-15,000",Purchase,R,House
Bob Gibbs,ETP,2020-05-19,"ENERGY TRANSFER PARTNERS, L.P. COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS","1,001-15,000",Purchase,R,House
Bob Gibbs,NLY,2020-01-08,ANNALY CAPITAL MANAGEMENT INC,"1,001-15,000",Purchase,R,House
Bob Gibbs,AAPL,2020-01-08,APPLE INC.,"15,001-50,000",Purchase,R,House
Bob Gibbs,ORCL,2020-01-08,ORACLE CORPORATION,"1,001-15,000",Purchase,R,House
Bob Gibbs,VZ,2020-01-08,VERIZON COMMUNICATIONS INC.,"1,001-15,000",Purchase,R,House
Brian Mast,IPWR,2020-12-24,IDEAL POWER INC.,"15,001-50,000",Purchase,R,House
Brian Mast,TLRY,2020-11-06,"TILRAY, INC. - CLASS 2","15,001-50,000",Purchase,R,House
Brian Mast,BEEM,2020-09-15,BEAM GLOBAL,"15,001-50,000",Purchase,R,House
Brian Mast,ZUO,2020-09-03,"ZUORA, INC. CLASS A","15,001-50,000",Purchase,R,House
Brian Mast,RXT,2020-08-18,"RACKSPACE TECHNOLOGY, INC.","15,001-50,000",Purchase,R,House
Brian Mast,PSNL,2020-02-14,"PERSONALIS, INC.","15,001-50,000",Purchase,R,House
Brian Mast,BGFV,2020-02-14,BIG 5 SPORTING GOODS CORPORATION,"1,001-15,000",Purchase,R,House
Brian Mast,SDC,2020-02-14,"SMILEDIRECTCLUB, INC.","1,001-15,000",Purchase,R,House
Brian Mast,IPWR,2020-12-24,IDEAL POWER INC.,"15,001-50,000",Purchase,R,House
Brian Mast,TLRY,2020-11-06,"TILRAY, INC. - CLASS 2","15,001-50,000",Purchase,R,House
