politician_name,sex,party,age,seniority_in_congress,state,city,university,sponership_compaines_tickets,116_congress_committees
Adam Kinzinger,male,REP,42.0,9.0,Illinois,Channahon,Illinois State University,"[""BA"", ""UNH"", ""GOOG"", ""LMT"", ""NOC"", ""DIS"", ""UPS"", ""XOM"", ""CVS""]","[""Energy and Commerce Committee"", ""Foreign Affairs Committee""]"
Austin Scott,male,REP,51.0,10.0,Georgia,Tifton,University of Georgia,"[""AFL"", ""BA"", ""CVS"", ""HD"", ""JPM"", ""UNH"", ""UPS""]","[""Agriculture"", ""Armed Services""]"
Alan S. Lowenthal,male,DEM,79.0,6.0,California,Long Beach,"California State University, Long Beach","[""BA"", ""UNH"", ""LMT"", ""NOC"", ""RTX"", ""GOOG"", ""GOOGL"", ""AMZN"", ""UPS"", ""FDX""]","[""Transportation and Infrastructure"", ""Aviation"", ""Coast Guard and Maritime Transportation"", ""Highways and Transit"", ""Water Resources and Environment"", ""Natural Resources""]"
Anthony E. Gonzalez,male,REP,36.0,2.0,Ohio,Rocky River,Stanford University,"[""GOOG"", ""MSFT"", ""AMZN"", ""JPM"", ""BA"", ""UNH"", ""HD"", ""UPS"", ""NFLX""]","[""Committee on Financial Services"", ""Subcommittee on Investor Protection, Entrepreneurship, and Capital Markets"", ""Subcommittee on Housing, Community Development, and Insurance"", ""Select Subcommittee on the Coronavirus Crisis"", ""Committee on Science, Space, and Technology"", ""Subcommittee on Space and Aeronautics"", ""Subcommittee on Research and Technology""]"
Bob Gibbs,male,REP,66.0,10.0,Ohio,Lakeville,Ohio State University,"[""UPS"", ""GOOG"", ""BA"", ""UNH"", ""BAC"", ""PFE"", ""CVS"", ""HD"", ""MSFT""]","[""Committee on Oversight and Reform"", ""Committee on Transportation and Infrastructure""]"
Brian Higgins,male,DEM,61.0,14.0,New York,Buffalo,Buffalo State College,"[""UNH"", ""GOOG"", ""BA"", ""UPS"", ""AEP"", ""INTC"", ""HD"", ""PG"", ""JPM"", ""BAC""]","[""Ways and Means"", ""Joint Committee on Taxation""]"
Brian Mast,male,REP,40.0,4.0,Florida,Palm City,Harvard University,"[""LMT"", ""BA"", ""RTX"", ""UNH"", ""CVS"", ""GOOG"", ""AMZN"", ""MSFT""]","[""Transportation and Infrastructure"", ""Foreign Affairs""]"
"Capito, Shelley Moore",female,REP,67.0,20.0,West Virginia,Charleston,University of Virginia,"[""NOC"", ""BA"", ""MRK"", ""UNH"", ""GOOG"", ""GOOGL"", ""AMZN"", ""MSFT"", ""CVS"", ""WMT""]","[""Appropriations"", ""Commerce, Science, and Transportation"", ""Environment and Public Works"", ""Rules and Administration""]"
Carol Devine Miller,female,REP,70.0,2.0,West Virginia,Huntington,,"[""UNH"", ""GOOG"", ""NOC"", ""BA"", ""LMT"", ""RTX"", ""CVS"", ""MRK""]","[""Transportation and Infrastructure"", ""Science, Space, and Technology""]"
"Carper, Thomas R.",male,DEM,73.0,36.0,Delaware,Wilmington,Ohio State University,"[""GOOG"", ""AMZN"", ""UNH"", ""JPM"", ""MSFT"", ""HD"", ""AAPL"", ""V"", ""WMT"", ""BAC""]","[""Committee on Environment and Public Works"", ""Committee on Finance"", ""Committee on Homeland Security and Governmental Affairs""]"
"Cassidy, Bill",male,REP,63.0,11.0,Louisiana,Baton Rouge,Louisiana State University,"[""CHEVRON"", ""EXXON"", ""BA"", ""PFE"", ""MRK"", ""UNH"", ""CVS"", ""GOOG"", ""AMZN""]","[""Committee on Appropriations"", ""Committee on Energy and Natural Resources"", ""Committee on Finance"", ""Committee on Rules and Administration"", ""Joint Economic Committee""]"
Cheri Bustos,female,DEM,59.0,7.0,Illinois,East Moline,Augustana College,"[""GOOG"", ""BA"", ""UNH"", ""MSFT"", ""AMZN"", ""CVS"", ""DIS"", ""UPS"", ""HD"", ""T""]","[""Appropriations"", ""Agriculture""]"
Christopher L. Jacobs,male,REP,54.0,0.0,New York,Orchard Park,University at Buffalo,"[""UNH"", ""ING"", ""JPM"", ""GOOG"", ""MSFT"", ""AMZN"", ""FB"", ""AAPL"", ""BRK.B""]","[""Agriculture"", ""Education and Labor""]"
